,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
26,Jogo de panelas,utilidades domesticas,185.73,10.7779789242,06/03/2023,Beatriz Moraes,MG,5,boleto,1,-18.1,-44.38
27,Bateria,instrumentos musicais,778.57,39.0409493135,14/09/2020,Juliana Costa,SP,1,cartao_credito,8,-22.19,-48.79
28,Corda de pular,esporte e lazer,24.58,1.5919369622,18/07/2020,Felipe Santos,BA,1,cartao_credito,4,-13.29,-41.71
29,Carrinho controle remoto,brinquedos,105.48,3.20093174,15/12/2021,Bruno Rodrigues,SP,4,cupom,1,-22.19,-48.79
30,Fogão,eletrodomesticos,752.25,37.6394884947,08/09/2021,Mariana Ferreira,RJ,1,cartao_credito,1,-22.25,-42.66
31,Jogo de tabuleiro,brinquedos,205.26,8.5139165614,15/08/2021,Bruno Rodrigues,MG,3,cartao_credito,3,-18.1,-44.38
32,Cama box,moveis,441.88,23.8175574588,04/02/2020,Felipe Santos,RJ,2,cartao_credito,5,-22.25,-42.66
33,Copo térmico,esporte e lazer,74.16,10.328411262,26/04/2020,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79
34,Blocos de montar,brinquedos,32.94,2.2850604283,13/05/2021,Bianca Santos,SP,5,cartao_credito,2,-22.19,-48.79
35,Copo térmico,esporte e lazer,83.08,2.0081991282,22/05/2022,Felipe Santos,MG,3,cartao_credito,1,-18.1,-44.38
36,Impressora,eletronicos,400.26,21.5957667651,16/08/2021,Bianca Santos,SP,5,cartao_credito,8,-22.19,-48.79
37,Cômoda,moveis,407.18,22.2122145633,31/07/2021,Camila Ribeiro,RS,5,cartao_credito,3,-30.17,-53.5
38,Dashboards com Power BI,livros,40.62,9.9649024163,17/08/2020,Bruno Rodrigues,SP,5,cartao_credito,3,-22.19,-48.79
39,Cama box,moveis,436.23,20.8123742104,21/09/2021,Mariana Ferreira,TO,5,cartao_credito,1,-9.46,-48.26
40,Fone de ouvido,eletronicos,91.05,2.4325776512,16/09/2022,Rafael Costa,PR,5,cupom,1,-24.89,-51.55
41,Guarda roupas,moveis,684.48,34.0309398742,02/08/2021,Mariana Ferreira,RS,5,cartao_credito,5,-30.17,-53.5
42,Dinossauro Rex,brinquedos,18.55,4.1515480169,27/04/2021,Thiago Silva,RJ,4,boleto,1,-22.25,-42.66
43,Micro-ondas,eletrodomesticos,482.73,23.2883593197,19/02/2021,Juliana Costa,SP,1,cartao_credito,5,-22.19,-48.79
44,Jogo de tabuleiro,brinquedos,320.35,14.6421128243,26/03/2022,João Souza,SP,4,cartao_credito,12,-22.19,-48.79
45,Bicicleta,esporte e lazer,571.09,27.9932634971,17/12/2021,Juliana Costa,RJ,5,cartao_credito,1,-22.25,-42.66
46,Guitarra,instrumentos musicais,905.39,45.7937327878,24/02/2023,João Souza,AP,4,cartao_credito,4,1.41,-51.77
47,Jogo de panelas,utilidades domesticas,134.52,7.4515621217,19/07/2021,Mariana Ferreira,MG,5,cartao_credito,1,-18.1,-44.38
48,Secadora de roupas,eletrodomesticos,986.28,53.2034550222,05/05/2020,Thiago Silva,RS,5,boleto,1,-30.17,-53.5
49,Sofá retrátil,moveis,840.05,42.3145743569,26/12/2022,Rafael Costa,GO,2,cartao_credito,10,-15.98,-49.86
50,Tablet ABXY,eletronicos,1507.11,77.8335125711,08/03/2023,Mariana Ferreira,PR,5,cartao_credito,1,-24.89,-51.55
51,Kit banquetas,moveis,425.25,22.9264090851,19/12/2021,Lucas Oliveira,MG,5,boleto,1,-18.1,-44.38
52,Impressora,eletronicos,396.02,21.6179781371,06/08/2022,Mariana Ferreira,SP,4,cartao_credito,1,-22.19,-48.79
53,Bateria,instrumentos musicais,536.25,29.0848037686,30/12/2020,Camila Ribeiro,RS,5,cartao_credito,1,-30.17,-53.5
54,Cubo mágico 8x8,brinquedos,22.86,0.0,03/09/2021,Camila Ribeiro,RJ,4,boleto,1,-22.25,-42.66
55,Jogo de copos,utilidades domesticas,51.55,3.2711474063,16/04/2020,Rafael Costa,SP,1,cartao_credito,1,-22.19,-48.79
56,Tablet ABXY,eletronicos,807.7,44.6603894646,14/02/2023,Larissa Alves,GO,4,cartao_credito,1,-15.98,-49.86
57,Lava louças,eletrodomesticos,1496.89,79.9880151593,28/02/2020,João Souza,SP,3,cartao_credito,2,-22.19,-48.79
58,Fone de ouvido,eletronicos,167.81,9.4664821849,10/12/2021,Felipe Santos,SP,3,cartao_credito,1,-22.19,-48.79
59,Dinossauro Rex,brinquedos,24.39,1.8297986502,01/07/2021,Bianca Santos,MG,4,cartao_credito,6,-18.1,-44.38
60,Corda de pular,esporte e lazer,17.11,0.0,25/09/2021,Bianca Santos,AL,3,cartao_credito,5,-9.62,-36.82
61,Cadeira de escritório,moveis,564.7,27.6530152208,23/05/2022,Bianca Santos,SP,5,cupom,1,-22.19,-48.79
62,Impressora,eletronicos,420.24,19.9609548148,01/09/2022,Beatriz Moraes,MG,5,cartao_credito,5,-18.1,-44.38
63,Modelagem preditiva,livros,98.74,2.8420470166,24/08/2020,Felipe Santos,SP,5,cartao_debito,1,-22.19,-48.79
64,Cômoda,moveis,391.78,21.3922108927,17/08/2021,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
65,Celular Plus X42,eletronicos,3367.25,179.9829446032,03/03/2023,Larissa Alves,RJ,4,cartao_credito,1,-22.25,-42.66
66,Secadora de roupas,eletrodomesticos,1600.38,85.4985463196,02/01/2022,Camila Ribeiro,MG,4,cartao_credito,1,-18.1,-44.38
67,Modelagem preditiva,livros,70.68,1.3479364324,31/03/2023,Thiago Silva,RS,3,cartao_credito,3,-30.17,-53.5
68,Kit banquetas,moveis,333.47,19.4090686399,09/09/2020,Rafael Costa,PI,5,cartao_credito,7,-6.6,-42.28
69,Fogão,eletrodomesticos,907.92,45.9284476765,05/06/2022,Beatriz Moraes,SP,4,cartao_credito,1,-22.19,-48.79
70,Mochila,esporte e lazer,147.99,5.4644613527,01/02/2022,João Souza,SP,4,boleto,1,-22.19,-48.79
71,Tablet ABXY,eletronicos,1594.71,82.4979490349,04/03/2023,Beatriz Moraes,MG,5,cartao_credito,10,-18.1,-44.38
72,Bola de basquete,esporte e lazer,60.08,9.4410146417,28/01/2021,Isabella Pereira,PE,4,cupom,1,-8.38,-37.86
73,Cômoda,moveis,378.87,21.8264820583,17/07/2022,Rafael Costa,RS,3,cartao_credito,1,-30.17,-53.5
74,Guarda roupas,moveis,653.87,32.4010494615,06/09/2021,Camila Ribeiro,SP,5,cartao_credito,3,-22.19,-48.79
75,Headset,eletronicos,191.4,10.4802510037,01/05/2020,Bianca Santos,SP,1,cartao_credito,1,-22.19,-48.79
76,Fone de ouvido,eletronicos,185.52,10.1615077897,28/10/2022,Rafael Costa,AM,2,boleto,1,-3.47,-65.1
77,Carrinho controle remoto,brinquedos,112.75,6.5347028276,02/11/2021,Pedro Gomes,RJ,5,cartao_credito,1,-22.25,-42.66
78,Bateria,instrumentos musicais,535.83,26.1157745734,01/03/2023,Felipe Santos,MG,5,cartao_credito,8,-18.1,-44.38
79,Celular Plus X42,eletronicos,2896.52,151.8154151649,11/09/2022,Lucas Oliveira,SP,5,boleto,1,-22.19,-48.79
80,Poltrona,moveis,395.14,18.6244553258,23/01/2021,Mariana Ferreira,BA,4,cartao_credito,4,-13.29,-41.71
81,Cadeira de escritório,moveis,491.6,26.4593469775,10/12/2020,Juliana Costa,SP,1,cartao_credito,8,-22.19,-48.79
82,Jogo de tabuleiro,brinquedos,174.39,6.8701819309,02/10/2021,Camila Ribeiro,MG,5,cartao_credito,1,-18.1,-44.38
83,Celular Plus X42,eletronicos,1861.96,99.6748729978,23/04/2020,Bianca Santos,MG,5,cartao_credito,9,-18.1,-44.38
84,Bola de basquete,esporte e lazer,56.18,9.2333513745,27/10/2022,Lucas Oliveira,DF,5,cartao_credito,2,-15.83,-47.86
85,Boneca bebê,brinquedos,59.69,3.4614388371,20/12/2020,Larissa Alves,RN,5,cartao_credito,10,-5.81,-36.59
86,Jogo de copos,utilidades domesticas,47.03,3.0353105399,23/07/2020,Bruno Rodrigues,SP,4,cartao_credito,1,-22.19,-48.79
87,Cadeira de escritório,moveis,593.11,32.1075881752,05/05/2022,Isabella Pereira,MG,5,boleto,1,-18.1,-44.38
88,Cadeira de escritório,moveis,549.97,26.8686870346,29/07/2021,Felipe Santos,SP,1,cartao_credito,7,-22.19,-48.79
89,Copo térmico,esporte e lazer,79.73,5.6444979865,30/12/2020,Juliana Costa,SP,5,cartao_credito,3,-22.19,-48.79
90,Boneca bebê,brinquedos,55.96,0.0,22/01/2021,Thiago Silva,RS,2,cartao_credito,7,-30.17,-53.5
91,Impressora,eletronicos,384.36,18.0504527563,16/05/2020,Rafael Costa,SP,5,boleto,1,-22.19,-48.79
92,Violão,instrumentos musicais,579.5,31.3877361552,28/06/2020,Rafael Costa,SP,5,cartao_credito,5,-22.19,-48.79
93,Kit banquetas,moveis,327.5,15.0228288142,24/09/2021,Lucas Oliveira,AM,3,cartao_credito,5,-3.47,-65.1
94,Modelagem preditiva,livros,71.75,1.4049107134,20/03/2023,Isabella Pereira,RJ,1,cartao_credito,10,-22.25,-42.66
95,Micro-ondas,eletrodomesticos,963.53,48.8895128792,30/09/2021,Bruno Rodrigues,GO,5,boleto,1,-15.98,-49.86
96,Panela de pressão,utilidades domesticas,104.39,6.0895579779,27/09/2022,Mariana Ferreira,PR,5,cartao_credito,10,-24.89,-51.55
97,Mesa de jantar,moveis,372.39,20.3597517257,03/05/2022,Isabella Pereira,SP,2,cartao_credito,6,-22.19,-48.79
98,Bicicleta,esporte e lazer,633.45,31.3137458931,13/12/2020,João Souza,MG,5,cartao_credito,4,-18.1,-44.38
99,Panela de pressão,utilidades domesticas,96.77,2.7371504432,10/02/2022,Camila Ribeiro,MG,5,cartao_credito,1,-18.1,-44.38
100,Iniciando em programação,livros,65.86,4.4466946987,01/04/2020,Rafael Costa,SP,5,cartao_credito,4,-22.19,-48.79
101,Corda de pular,esporte e lazer,30.41,9.6968889077,20/10/2020,Mariana Ferreira,MG,5,cartao_debito,1,-18.1,-44.38
102,Boneca bebê,brinquedos,72.82,1.4618849944,27/01/2022,Pedro Gomes,SP,4,cartao_credito,1,-22.19,-48.79
103,Dashboards com Power BI,livros,44.68,0.0,29/07/2021,Larissa Alves,SP,5,cupom,1,-22.19,-48.79
104,Celular ABXY,eletronicos,935.91,47.4188309713,11/01/2020,João Souza,SP,5,boleto,1,-22.19,-48.79
105,Secadora de roupas,eletrodomesticos,1918.54,103.0448984322,06/02/2020,Lucas Oliveira,RJ,1,cartao_credito,1,-22.25,-42.66
106,Headset,eletronicos,73.75,5.3260809768,04/07/2021,Larissa Alves,SP,1,cartao_credito,4,-22.19,-48.79
107,Boneca bebê,brinquedos,71.0,4.0693132155,28/12/2020,Juliana Costa,PA,5,cartao_credito,8,-3.79,-52.48
108,Poltrona,moveis,296.72,16.486459497,14/02/2020,Beatriz Moraes,SP,3,boleto,1,-22.19,-48.79
109,Bicicleta,esporte e lazer,714.47,38.9317932608,11/10/2021,Lucas Oliveira,SP,3,cartao_credito,1,-22.19,-48.79
110,Smartwatch,eletronicos,229.77,12.5176871678,11/02/2022,Isabella Pereira,SP,5,cartao_credito,8,-22.19,-48.79
111,Ciência de dados com python,livros,52.97,3.1036190536,18/05/2022,Larissa Alves,SP,5,cartao_credito,10,-22.19,-48.79
112,Copo térmico,esporte e lazer,89.19,7.9129155032,06/07/2022,Larissa Alves,SP,4,cartao_credito,1,-22.19,-48.79
113,TV Led UHD 4K,eletronicos,3682.05,196.3468622194,15/12/2020,Rafael Costa,SP,5,boleto,1,-22.19,-48.79
114,Micro-ondas,eletrodomesticos,741.11,39.7506547541,04/12/2021,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
115,Geladeira,eletrodomesticos,2913.45,152.7168867326,09/02/2020,Larissa Alves,SP,1,cupom,1,-22.19,-48.79
116,Dashboards com Power BI,livros,59.2,0.0,15/04/2020,Bruno Rodrigues,DF,1,cartao_credito,4,-15.83,-47.86
117,Blocos de montar,brinquedos,41.25,0.0,05/03/2020,João Souza,TO,2,boleto,1,-9.46,-48.26
118,TV Led UHD 4K,eletronicos,3766.19,200.8270640923,07/09/2021,Mariana Ferreira,PB,5,cartao_credito,1,-7.28,-36.72
119,Lava louças,eletrodomesticos,2037.22,109.3642513948,04/08/2020,Felipe Santos,SP,2,cartao_credito,2,-22.19,-48.79
120,Mesa de centro,moveis,243.75,13.5100587267,25/11/2022,Mariana Ferreira,RS,5,boleto,1,-30.17,-53.5
121,Micro-ondas,eletrodomesticos,952.33,51.239812032,27/07/2020,Pedro Gomes,SP,5,cartao_credito,5,-22.19,-48.79
122,Panela de pressão,utilidades domesticas,111.13,3.5017772425,17/01/2020,Beatriz Moraes,RJ,1,cartao_credito,10,-22.25,-42.66
123,Copo térmico,esporte e lazer,46.67,3.4248849299,12/09/2020,Pedro Gomes,RJ,5,cartao_credito,2,-22.25,-42.66
124,Cama king,moveis,926.84,49.6402185033,23/01/2022,Thiago Silva,SP,4,cartao_credito,5,-22.19,-48.79
125,Modelagem preditiva,livros,92.99,14.0458241135,15/04/2022,Beatriz Moraes,SP,5,cartao_credito,2,-22.19,-48.79
126,Lavadora de roupas,eletrodomesticos,1809.14,99.4950786993,02/01/2020,Mariana Ferreira,PB,3,cartao_credito,2,-7.28,-36.72
127,Celular Plus X42,eletronicos,3135.25,173.1845657889,17/02/2020,Camila Ribeiro,PE,1,cartao_credito,1,-8.38,-37.86
128,Violão,instrumentos musicais,272.86,12.1134131934,28/05/2020,Thiago Silva,PR,5,cartao_credito,5,-24.89,-51.55
129,TV Led UHD 4K,eletronicos,3880.0,204.18276646,02/07/2021,Juliana Costa,MG,5,boleto,1,-18.1,-44.38
130,Panela de pressão,utilidades domesticas,83.2,2.0145887672,01/04/2020,Larissa Alves,MG,1,cartao_credito,2,-18.1,-44.38
131,Secadora de roupas,eletrodomesticos,1454.34,75.0236688246,01/09/2022,Bruno Rodrigues,SP,4,cartao_credito,1,-22.19,-48.79
132,Poltrona,moveis,349.98,19.166486644,06/09/2022,Lucas Oliveira,RJ,5,boleto,1,-22.25,-42.66
133,Modelagem preditiva,livros,74.15,5.3473797734,26/12/2020,Larissa Alves,DF,5,cartao_credito,1,-15.83,-47.86
134,TV Led UHD 4K,eletronicos,2569.93,144.6430507307,17/11/2022,Camila Ribeiro,SP,5,cartao_credito,4,-22.19,-48.79
135,Dashboards com Power BI,livros,40.71,0.0,06/04/2020,Larissa Alves,PE,5,cartao_credito,8,-8.38,-37.86
136,Guarda roupas,moveis,677.41,33.6544836436,03/02/2023,Camila Ribeiro,RJ,5,cartao_credito,3,-22.25,-42.66
137,Cadeira de escritório,moveis,671.64,36.0459353445,30/01/2020,Larissa Alves,RJ,5,cartao_credito,3,-22.25,-42.66
138,Headset,eletronicos,215.52,12.0020566184,21/10/2022,Felipe Santos,SP,1,cartao_credito,1,-22.19,-48.79
139,TV Led UHD 4K,eletronicos,3830.38,201.540650737,05/02/2020,Lucas Oliveira,SP,5,boleto,1,-22.19,-48.79
140,Jogo de copos,utilidades domesticas,45.29,2.6946821581,26/10/2021,Juliana Costa,SC,1,cartao_credito,2,-27.45,-50.95
141,Bateria,instrumentos musicais,903.48,45.6920310338,24/07/2022,Larissa Alves,SP,5,cartao_credito,6,-22.19,-48.79
142,Jogo de tabuleiro,brinquedos,201.06,10.9946169426,24/02/2022,Thiago Silva,PR,5,cartao_credito,2,-24.89,-51.55
143,Corda de pular,esporte e lazer,30.16,0.0,09/09/2021,Bruno Rodrigues,ES,5,boleto,1,-19.19,-40.34
144,Headset,eletronicos,201.76,11.6315281995,14/06/2021,Pedro Gomes,RJ,5,cartao_credito,5,-22.25,-42.66
145,Tablet ABXY,eletronicos,1204.87,61.740141831,30/10/2021,Camila Ribeiro,RS,4,boleto,1,-30.17,-53.5
146,Xadrez de madeira,brinquedos,40.4,0.0,13/04/2021,Rafael Costa,PE,5,cartao_credito,6,-8.38,-37.86
147,Guarda roupas,moveis,602.71,32.3756202137,12/02/2020,Rafael Costa,SC,4,cartao_credito,4,-27.45,-50.95
148,Cubo mágico 8x8,brinquedos,24.78,1.608237264,12/05/2021,Beatriz Moraes,SE,5,boleto,1,-10.57,-37.45
149,Dinossauro Rex,brinquedos,18.17,1.9073456695,11/01/2022,Camila Ribeiro,RJ,5,boleto,1,-22.25,-42.66
150,Jogo de copos,utilidades domesticas,47.66,0.0,08/07/2022,Pedro Gomes,SC,5,boleto,1,-27.45,-50.95
151,Guarda roupas,moveis,601.96,29.6369981277,30/05/2020,Larissa Alves,SP,3,cartao_credito,3,-22.19,-48.79
152,Jogo de copos,utilidades domesticas,37.49,0.0,04/10/2022,Juliana Costa,RS,1,cartao_credito,10,-30.17,-53.5
153,Bateria,instrumentos musicais,728.81,41.9707562681,15/12/2021,Felipe Santos,RJ,5,cartao_credito,2,-22.25,-42.66
154,Carrinho controle remoto,brinquedos,76.12,1.6376000667,13/02/2023,João Souza,PR,3,cartao_credito,2,-24.89,-51.55
155,Boneca bebê,brinquedos,57.26,0.0,03/02/2021,Bianca Santos,PR,5,boleto,1,-24.89,-51.55
156,Sofá retrátil,moveis,950.49,48.1951721088,10/11/2022,Camila Ribeiro,PR,1,cartao_credito,5,-24.89,-51.55
157,Blocos de montar,brinquedos,36.0,2.443156687,21/01/2023,Thiago Silva,SP,5,cartao_credito,10,-22.19,-48.79
158,Cômoda,moveis,427.94,20.3709566501,24/10/2021,Lucas Oliveira,SP,2,cartao_credito,10,-22.19,-48.79
159,Cama king,moveis,877.54,53.1059793706,22/03/2022,Juliana Costa,BA,1,cartao_credito,2,-13.29,-41.71
160,Geladeira,eletrodomesticos,3282.01,180.9990942756,29/09/2022,Juliana Costa,RJ,5,cartao_credito,6,-22.25,-42.66
161,Copo térmico,esporte e lazer,39.36,9.8978112069,18/12/2020,Pedro Gomes,SP,5,cartao_credito,5,-22.19,-48.79
162,Faqueiro,utilidades domesticas,70.8,1.3543260714,26/03/2022,João Souza,SP,2,cartao_credito,5,-22.19,-48.79
163,Corda de pular,esporte e lazer,11.47,1.1370079831,17/08/2022,Beatriz Moraes,SP,5,cartao_credito,1,-22.19,-48.79
164,Cama box,moveis,786.92,39.4855616934,18/01/2022,Larissa Alves,SP,5,boleto,1,-22.19,-48.79
165,Cadeira de escritório,moveis,686.09,39.6960447871,15/09/2021,Rafael Costa,DF,5,cartao_credito,10,-15.83,-47.86
166,Mesa de centro,moveis,277.62,15.0712066192,01/05/2022,Lucas Oliveira,SC,5,cartao_credito,1,-27.45,-50.95
167,Corda de pular,esporte e lazer,13.39,1.2440817426,06/11/2020,Mariana Ferreira,RJ,1,cartao_credito,1,-22.25,-42.66
168,Jogo de panelas,utilidades domesticas,144.15,8.2066583637,08/02/2021,Thiago Silva,MG,1,cartao_credito,3,-18.1,-44.38
169,Modelagem preditiva,livros,85.44,4.8325488707,22/06/2020,Bianca Santos,MG,5,cartao_credito,3,-18.1,-44.38
170,Copo térmico,esporte e lazer,86.66,4.8975102005,09/03/2021,Mariana Ferreira,SP,1,cupom,1,-22.19,-48.79
171,Mesa de centro,moveis,210.29,11.4804357715,06/07/2021,Felipe Santos,CE,5,cartao_credito,12,-5.2,-39.53
172,Cômoda,moveis,362.56,19.8363337983,24/11/2022,Mariana Ferreira,SP,3,boleto,1,-22.19,-48.79
173,Smart TV,eletronicos,2394.68,128.9086211824,18/03/2020,Pedro Gomes,PR,4,cartao_credito,4,-24.89,-51.55
174,Panela de pressão,utilidades domesticas,94.58,2.6205395316,01/04/2021,Juliana Costa,DF,5,cartao_credito,10,-15.83,-47.86
175,Guarda roupas,moveis,600.9,32.8845324252,29/08/2021,Bianca Santos,RJ,1,cartao_credito,2,-22.25,-42.66
176,Blocos de montar,brinquedos,43.1,0.0,28/03/2020,Lucas Oliveira,SP,5,boleto,1,-22.19,-48.79
177,Bola de basquete,esporte e lazer,79.48,1.8165099585,12/11/2022,Lucas Oliveira,SP,4,cartao_debito,1,-22.19,-48.79
178,Jogo de copos,utilidades domesticas,54.41,3.4282733379,06/02/2022,Juliana Costa,SC,5,boleto,1,-27.45,-50.95
179,Faqueiro,utilidades domesticas,72.85,5.2781586843,26/02/2020,Mariana Ferreira,SP,5,cartao_debito,1,-22.19,-48.79
180,Lavadora de roupas,eletrodomesticos,2094.53,109.1118603746,16/06/2022,Pedro Gomes,RJ,5,cartao_credito,3,-22.25,-42.66
181,Celular Plus X42,eletronicos,2509.24,133.8926071018,22/04/2021,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
182,Lavadora de roupas,eletrodomesticos,1742.66,93.0801791874,04/12/2021,Juliana Costa,MG,5,cartao_credito,6,-18.1,-44.38
183,Jogo de tabuleiro,brinquedos,217.87,9.1853611255,06/06/2022,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
184,Boneca bebê,brinquedos,62.33,3.8499895113,05/11/2020,Felipe Santos,MT,5,cartao_credito,1,-12.64,-55.42
185,Kit banquetas,moveis,362.7,16.8971229184,14/02/2023,Camila Ribeiro,SC,4,cartao_credito,10,-27.45,-50.95
186,Mesa de jantar,moveis,289.4,12.9941184344,14/09/2021,Pedro Gomes,ES,1,cupom,1,-19.19,-40.34
187,Bola de vôlei,esporte e lazer,65.04,1.0476233998,03/03/2022,Larissa Alves,SP,5,boleto,1,-22.19,-48.79
188,Faqueiro,utilidades domesticas,46.2,5.6238273345,26/10/2020,Bruno Rodrigues,SP,4,cartao_credito,1,-22.19,-48.79
189,Dashboards com Power BI,livros,58.62,3.6524431725,08/04/2021,Larissa Alves,GO,3,cartao_credito,1,-15.98,-49.86
190,Jogo de copos,utilidades domesticas,53.09,3.357987309,21/04/2022,Camila Ribeiro,SP,1,cartao_credito,1,-22.19,-48.79
191,Sofá retrátil,moveis,862.54,46.453925121,27/07/2020,Mariana Ferreira,MG,5,cartao_credito,1,-18.1,-44.38
192,Mochila,esporte e lazer,142.64,10.7589672041,26/04/2022,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
193,Cômoda,moveis,359.51,26.6984062346,08/01/2021,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
194,Jogo de tabuleiro,brinquedos,257.89,11.3163057292,01/11/2022,João Souza,RS,5,boleto,1,-30.17,-53.5
195,Cômoda,moveis,384.97,20.7816202636,27/07/2021,Isabella Pereira,SP,4,cartao_credito,6,-22.19,-48.79
196,Blocos de montar,brinquedos,53.58,0.0,02/01/2023,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
197,Poltrona,moveis,269.55,14.6358524935,02/06/2020,João Souza,SP,5,cartao_credito,10,-22.19,-48.79
198,Impressora,eletronicos,482.79,25.9902409815,26/05/2020,João Souza,RJ,1,cartao_credito,1,-22.25,-42.66
199,Xadrez de madeira,brinquedos,49.96,5.8240360229,20/03/2023,Thiago Silva,PE,5,cartao_credito,6,-8.38,-37.86
200,Boneca bebê,brinquedos,67.89,4.1460427846,04/10/2022,Rafael Costa,SP,5,cartao_credito,2,-22.19,-48.79
201,Guitarra,instrumentos musicais,1121.4,62.8749926989,10/05/2022,Lucas Oliveira,SP,1,cartao_credito,4,-22.19,-48.79
202,Kit banquetas,moveis,447.98,21.4380263617,13/03/2021,Larissa Alves,RJ,5,cartao_credito,1,-22.25,-42.66
203,Cubo mágico 8x8,brinquedos,27.27,1.983149986,27/02/2022,Larissa Alves,MG,5,boleto,1,-18.1,-44.38
204,Bateria,instrumentos musicais,1215.5,65.2479832748,13/09/2022,Pedro Gomes,SP,5,cartao_credito,1,-22.19,-48.79
205,Jogo de copos,utilidades domesticas,43.14,2.8281797426,23/07/2020,Felipe Santos,SP,4,cartao_credito,1,-22.19,-48.79
206,Guarda roupas,moveis,631.8,41.4434589082,26/01/2023,Thiago Silva,SP,4,cartao_credito,3,-22.19,-48.79
207,Geladeira,eletrodomesticos,2505.72,131.0064908491,14/05/2022,Juliana Costa,SP,3,cartao_debito,1,-22.19,-48.79
